,Dealer_Code,Oct_2324_sales,Nov_2324_sales,Dec_2324_sales,Jan_2324_sales,Feb_2324_sales,Mar_2324_sales,Apr_2425_sales,May_2425_sales,Jun_2425_sales,Jul_2425_sales,Aug_2425_sales,Sep_2425_sales,Apr_2425_Target,May_2425_Target,Jun_2425_Target,Jul_2425_Target,Aug_2425_Target,Sep_2425_Target,Sales_Pattern_Overall,Target_Pattern_Overall,Achieved_Type,Predicted_Target,Category_Overall,Dealer_Name,dealer_district,dealer_taluka,dealer_type,population,taluka_population,market_potential,MarketSizePer1000,AVG_SALES,sales_by_counter_3M,counter_market_ratio,NORM_counter_market_ratio,NORM_sales_by_counter_3M,AVG_SALES-N,MarketSizePer1000_N,Code,Dealer Name,CS,AP,MP,Status,MPA,SOB,AP_normalized,Score,Tier,Incentive_per_Ton_linear,Incentive_per_Ton_exponential,Final_Incentive,Perfomance_Bonus,Predicted_Incentive
163,SIPA387,15.0,3.0,16.0,13.0,13.0,1.0,27,13.0,1.0,12.0,12.0,13.0,10,12,10,10,10,10,HHLHHH,AANAAA,High Achievement,16,Consistently Strong Performer,SRI SRINIVASA STEEL SYNDICATE,Krishna,NUZVID,Non-Exclusive,6097627.0,1.0,100.0,0.016399822422722806,7.666666666666667,0.34210526315789475,0.2,0.00022185193401923483,0.023856520638259538,0.02962962962962963,4.069742520051297e-08,SIPA387,Sri Srinivasa Steel Syndicate,19.1,13,100.0,Non-Exclusive,19.1,68.06282722513089,5.633802816901409,20.812847135167022,Tier 3,1667.0,1323.0,1323.0,0.0,21170.0
164,SIPA389,12.0,25.0,19.0,16.0,20.0,21.0,25,1.0,24.0,1.0,25.0,20.0,20,20,25,20,20,20,HLHLHH,ANNNAA,Moderate Achievement,27,Emerging Performer,SRI SAI RAM BRAHMAIAH CUNTRY WOOD DEPOT,Nellore,PODALAKUR,Non-Exclusive,4538626.0,84810.0,120.0,0.026439719862354816,17.166666666666668,0.32786885245901637,0.2916666666666667,0.00032370382359400875,0.022863271196286027,0.07185185185185186,6.579716880717641e-08,SIPA389,Sri Sai Ram Brahmaiah Cuntry Wood Depot,22.3,16,120.0,Non-Exclusive,18.583333333333336,71.74887892376681,7.042253521126761,22.291794564096087,Tier 3,1667.0,1323.0,1323.0,0.0,35720.0
165,SIPA390,6.0,1.0,1.0,10.0,3.0,8.0,1,1.0,3.0,1.0,1.0,1.0,5,6,6,6,10,10,LLLLLL,NNNNNN,No Achievement,0,Consistently Weak Performer,HANUMAN TRADERS,Anantapur,KOTHACHERUVU,Non-Exclusive,6321948.0,53610.0,60.0,0.009490745573990801,3.3333333333333335,0.041666666666666664,0.21666666666666667,0.00024037045939646646,0.002895445924692385,0.01037037037037037,2.342473307346435e-08,SIPA390,Hanuman Traders (K),16.1,1,60.0,Non-Exclusive,26.833333333333336,6.211180124223602,0.0,6.608902691511387,Tier 6,,,,,
166,SIPA391,49.0,51.0,61.333333333333336,57.5,51.0,46.833333333333336,48,30.0,26.0,20.0,29.0,1.0,55,50,55,60,60,60,LLLLLL,NNNNNN,No Achievement,25,Consistently Weak Performer,SRI SRINIVASA STEELS,Cuddapah,PULIVENDLA,Non-Exclusive,4111686.0,1.0,600.0,0.14592554003394226,33.97222222222222,0.3333333333333333,0.0016666666666666668,1.4814820301785297e-06,0.023244518456841515,0.1465432098765432,3.6451171932639596e-07,SIPA391,Sri Srinivasa Steels,46.1,26,600.0,Non-Exclusive,7.683333333333334,56.399132321041215,11.737089201877934,19.85874665200167,Tier 3,1667.0,1323.0,1323.0,0.0,33080.0
167,SIPA392,11.0,12.0,10.0,10.833333333333334,11.0,10.0,1,6.5,1.0,5.75,1.0,1.0,10,12,12,12,15,15,LLLLLL,NNNNNN,No Achievement,0,Consistently Weak Performer,BABA TRADERS,Chittoor,KALAKADA,Non-Exclusive,6588204.0,45787.0,90.0,0.013660779174415364,6.916666666666667,0.014084507042253521,0.4111111111111111,0.0004564199221308353,0.0009710869528392484,0.026296296296296297,3.3849817077675495e-08,SIPA392,Baba Traders,30.8,4,90.0,Non-Exclusive,34.22222222222222,12.987012987012985,1.4084507042253522,10.286917464382254,Tier 5,1333.0,952.0,952.0,0.0,0.0
168,SIPA393,25.0,25.0,38.0,14.0,24.0,24.0,24,1.0,12.0,1.0,13.0,12.0,24,24,24,20,30,30,LLLLLL,ANNNNN,Low Achievement,14,Consistently Weak Performer,LAKSHMI STEELS,Nellore,VINJAMUR,Non-Exclusive,4538626.0,62031.0,90.0,0.019829789896766117,16.5,0.15584415584415584,0.3333333333333333,0.0003700001370370877,0.010861409383474328,0.06888888888888889,4.9272343888212e-08,SIPA393,Lakshmi Steels,34.2,10,90.0,Non-Exclusive,38.0,29.239766081871345,4.225352112676056,15.983164483979904,Tier 4,1500.0,1110.0,1110.0,0.0,15540.0
169,SIPA395,77.0,66.0,85.0,28.0,51.0,77.0,95,30.0,49.0,12.0,56.0,25.0,60,65,70,55,65,65,HLLLHL,ANNNNN,Low Achievement,34,Consistently Weak Performer,M S ENTERPRISES,Kurnool,Nandyal,Non-Exclusive,6203936.0,68852.0,1100.0,0.17730679362262924,54.0,0.15151515151515152,0.07909090909090909,8.750844991895451e-05,0.010559382332904398,0.23555555555555555,4.4296485332181653e-07,SIPA395,M S Enterprises,82.5,45,3000.0,Non-Exclusive,2.75,54.54545454545454,20.657276995305164,23.853457106274007,Tier 2,1833.0,1611.0,1611.0,0.0,54770.0
170,SIPA396,31.0,21.0,35.0,16.0,19.0,33.0,21,15.0,25.0,1.0,25.0,25.0,25,25,30,30,20,20,LLHLHH,NNNNAA,Low Achievement,28,Fluctuating Performer,SRI SAI LAKSHMI TRADERS,Chittoor,Madanapally,Non-Exclusive,6588204.0,97284.0,650.0,0.09866118292633319,25.0,0.2032520325203252,0.11076923076923077,0.00012270659815344094,0.014168973912886504,0.10666666666666666,2.463508265216732e-07,SIPA396,Sri Sai Lakshmi Traders,74.4,19,650.0,Non-Exclusive,11.446153846153848,25.537634408602152,8.450704225352112,12.467180186162468,Tier 5,1333.0,952.0,952.0,0.0,26660.0
171,SIPA400,34.0,25.0,24.0,21.0,38.0,38.0,39,12.0,12.0,25.0,39.0,39.0,30,30,30,30,35,35,HLLLHH,ANNNAA,Moderate Achievement,39,Declining Performer,Sree Paavana Traders,Cuddapah,JAMMALAMADUGU,Non-Exclusive,4111686.0,32257.0,230.0,0.055938123679677876,26.666666666666668,0.5131578947368421,0.15217391304347827,0.0001687118177193528,0.03579056317591091,0.11407407407407408,1.3954317837276502e-07,SIPA400,Sree Paavana Traders,49.2,28,230.0,Non-Exclusive,21.391304347826086,56.91056910569105,12.676056338028168,23.26600849352033,Tier 2,1833.0,1611.0,1611.0,0.0,62830.0
172,SIPA402,12.0,10.0,12.0,12.0,10.0,19.0,10,15.0,16.0,1.0,20.0,16.0,12,15,15,15,15,15,LHHLHH,NAANAA,Moderate Achievement,20,Consistently Strong Performer,S V Agencies,Chittoor,Punganur,Non-Exclusive,6588204.0,54956.0,220.0,0.033393015759682,14.666666666666666,0.22535211267605634,0.15454545454545454,0.00017134686480860313,0.015710857801076044,0.060740740740740734,8.31804085557464e-08,SIPA402,S V Agencies,44.7,13,220.0,Non-Exclusive,20.31818181818182,29.082774049217004,5.633802816901409,13.260472863620612,Tier 5,1333.0,952.0,952.0,0.0,19040.0
