,Dealer_Code,Dealer_Name,dealer_district,dealer_type,dealer_taluka,Feb_2324_sales,Mar_2324_sales,Apr_2425_sales,May_2425_sales,Jun_2425_sales,Jul_2425_sales,Aug_2425_sales,Sep_2425_sales,Oct_2425_sales,Nov_2425_sales,Dec_2425_sales,Jan_2425_sales,Feb_2324_Target,Mar_2324_Target,Apr_2425_Target,May_2425_Target,Jun_2425_Target,Jul_2425_Target,Aug_2425_Target,Sep_2425_Target,Oct_2425_Target,Nov_2425_Target,Dec_2425_Target,Jan_2425_Target,Sales_Pattern_Overall,Target_Pattern_Overall,Achieved_Type,Predicted_Target_R,Percentage_PT_Dist,Category_Overall,new_market_potential,AP_12,NORM_counter_market_ratio,NORM_sales_by_counter_3M,AVG_SALES-N,MarketSizePer1000_N,Code,Dealer Name,CS,AP,MP,Status,Predicted_Target,MPA,SOB,AP_normalized,Score,Tier,Incentive_per_Ton_linear,Incentive_per_Ton_exponential,Final_Incentive,Perfomance_Bonus,Predicted_Incentive
68,SIPA187,Karthikeya Enterprises,Krishna,Non-Exclusive,Agiripalli,3,10,2,10,2,0,10,14,16,0,12,0,12,10,10,10,10,10,10,10,10,10,12,12,HHHLHL,AAANAN,Moderate Achievement,20,0.0016570008285004142,Consistently Strong Performer,52.5,13.240833333333333,0.00020245157410023025,0.001746121567385142,0.07501163486470314,0.0056734580383528375,SIPA187,Karthikeya Enterprises,27.7,6.0,50.0,Non-Exclusive,20.0,52.761904761904766,23.989169675090256,3.1553861723905743,17.24344659083335,Tier 3,1667.0,1323.0,1349.0,26.0,26980.0
69,SIPA190,Sri Bhavani Iron & Tiles,Guntur,Non-Exclusive,Gurazala,13,15,15,16,12,12,19,0,20,24,20,11,12,15,15,15,15,15,18,18,20,20,20,15,HLHHHL,ANAANN,Moderate Achievement,25,0.002071251035625518,Emerging Performer,42.0,18.11916666666667,0.00018775433173734803,0.0020768726039274007,0.10375806129911574,0.009038398736895367,SIPA190,Sri Bhavani Iron & Tiles,18.3,12.0,40.0,Non-Exclusive,25.0,43.57142857142857,80.7103825136612,7.11824772423361,29.127310851558118,Tier 1,2000.0,2000.0,2000.0,0.0,50000.0
70,SIPA192,M. Bharatha Raju,Anantapur,Non-Exclusive,Amarapuram,0,14,0,6,13,0,10,0,0,0,10,0,15,10,12,12,12,12,10,10,10,10,12,10,HLLLHL,NNNNNN,No Achievement,10,0.0008285004142502071,Consistently Weak Performer,105.0,24.34833333333333,0.00014777783251030834,0.00011371434314258163,0.1527907054052257,0.044525955280952205,SIPA192,M. Bharatha Raju,34.6,5.0,100.0,Non-Exclusive,10.0,32.952380952380956,12.728805394990367,2.062449278759198,10.373706836729783,Tier 5,1333.0,952.0,952.0,0.0,9520.0
71,SIPA202,Mahesh Enterprises,Guntur,Non-Exclusive,Vinukonda,33,66,60,40,40,51,52,53,23,0,54,24,50,40,45,50,70,60,60,60,50,50,50,40,HHLLHL,NNNNAN,Low Achievement,40,0.0033140016570008283,Fluctuating Performer,367.5,28.700000000000003,0.0009739308217884373,0.0005630959848955978,0.28621767169736057,0.12657423683238417,SIPA202,Mahesh Enterprises,71.2,50.0,350.0,Non-Exclusive,40.0,19.374149659863946,58.249063670411985,20.142446243952406,27.61011041242663,Tier 1,2000.0,2000.0,2000.0,0.0,80000.0
72,SIPA206,Sree Rama Devi Steel & Cement,Cuddapah,Exclusive,Duvvuru,12,31,24,12,7,12,12,0,22,12,0,12,20,20,20,20,20,20,20,20,20,20,20,12,LLHHLH,NNANNN,Low Achievement,20,0.0016570008285004142,Fluctuating Performer,94.5,0.0,1.1413458497803977e-06,0.0192286763560474,0.0,0.0353398714266367,SIPA206,Sree Rama Devi Steel & Cement,13.2,11.0,90.0,Exclusive,20.0,13.968253968253968,98.29545454545456,6.242760156780287,26.19839779680988,Tier 2,1833.0,1611.0,1611.0,0.0,32220.0
73,SIPA208,Suresh And Ramesh Traders,Srikakulam,Non-Exclusive,Pathapattanam,0,0,0,30,0,0,25,0,0,0,50,0,25,20,20,30,30,30,20,20,20,20,24,10,HLLLHL,NNNNNN,No Achievement,15,0.0012427506213753107,Consistently Weak Performer,262.5,22.241666666666664,0.000299453373695253,0.0007403684154505177,0.11089688185625955,0.02629300382507843,SIPA208,Suresh And Ramesh Traders,162.4,9.0,100.0,Non-Exclusive,15.0,61.86666666666667,1.9933805418719208,1.4933010704468075,13.667990083975804,Tier 4,1500.0,1110.0,1110.0,0.0,16650.0
74,SIPA212,Yaswanthi Iron Mart,Anantapur,Non-Exclusive,Dharmavaram,59,19,51,34,24,25,51,51,56,0,21,10,55,50,50,50,50,50,50,50,50,50,50,50,HHHLLL,AAANNN,Moderate Achievement,35,0.002899751449875725,Momentum Gainer,294.0,4.139166666666667,0.00012661380350775792,0.001066244436714943,0.009756665115351374,0.00398082703018001,SIPA212,Yaswanthi Iron Mart,45.0,39.0,250.0,Non-Exclusive,35.0,15.306122448979592,74.26851851851852,16.214945610571966,27.643895559842804,Tier 1,2000.0,2000.0,2000.0,0.0,70000.0
75,SIPA213,Sri Vasavi Agencies,Prakasam,Non-Exclusive,Parchur,25,40,39,14,13,25,35,24,20,21,12,24,20,20,20,24,24,24,25,25,20,20,24,24,HLLLLH,ANAANN,Moderate Achievement,25,0.002071251035625518,Fluctuating Performer,105.0,11.256944444444445,7.017639283429011e-05,0.0019209471152717645,0.04147829266671099,0.0019847636809634745,SIPA213,Sri Vasavi Agencies,24.2,25.0,120.0,Non-Exclusive,25.0,23.047619047619047,100.0,11.824501458468534,31.70422468460493,Tier 1,2000.0,2000.0,2000.0,0.0,50000.0
76,SIPA215,Raghavendra Traders,Chittoor,Non-Exclusive,Kuppam,5,10,12,11,0,11,0,11,10,0,12,11,20,10,10,12,12,12,10,10,10,10,12,12,LHHLHH,NAANAN,Moderate Achievement,15,0.0012427506213753107,Emerging Performer,210.0,7.590000000000001,6.576722012542544e-05,0.0030747957313234735,0.02128349178910977,0.02084932305668626,SIPA215,Raghavendra Traders,45.0,7.0,170.0,Non-Exclusive,15.0,21.428571428571427,17.216666666666665,3.6931160014252757,9.944917219902784,Tier 5,1333.0,952.0,952.0,0.0,14280.0
77,SIPA217,Capital Building Enterprises,Guntur,Non-Exclusive,Mandadam,0,0,0,0,14,0,0,0,0,10,0,0,12,5,5,0,0,12,10,10,10,10,12,12,LLLHLL,NNNNNN,No Achievement,0,0.0,Consistently Weak Performer,105.0,16.6475,0.00019716056684959267,0.00012868792707353157,0.09927032777075993,0.01105054101138011,SIPA217,Capital Building Enterprises,17.3,2.0,100.0,Non-Exclusive,0.0,16.476190476190478,4.161046885035324,0.2654778533619292,4.286734184262318,Tier 6,,,,,
